iter	Passed	Remaining
0	123	123207
1	124	62035
2	125	41544
3	125	31275
4	126	25110
5	126	21000
6	127	18074
7	128	15897
8	128	14198
9	129	12837
10	130	11713
11	131	10786
12	131	9994
13	132	9317
14	132	8729
15	133	8216
16	134	7762
17	134	7361
18	135	7000
19	136	6674
20	136	6379
21	137	6112
22	138	5867
23	138	5647
24	139	5442
25	140	5252
26	140	5078
27	141	4920
28	142	4770
29	143	4629
30	143	4498
31	144	4373
32	145	4263
33	146	4156
34	147	4064
35	148	3966
36	148	3875
37	149	3788
38	150	3703
39	150	3623
40	151	3553
41	152	3483
42	153	3415
43	154	3351
44	155	3289
45	155	3231
46	156	3174
47	157	3121
48	158	3070
49	159	3024
50	159	2974
51	161	2937
52	162	2900
53	162	2855
54	163	2811
55	164	2770
56	165	2729
57	165	2690
58	166	2651
59	166	2613
60	167	2578
61	168	2543
62	168	2509
63	169	2477
64	170	2449
65	170	2418
66	171	2390
67	172	2362
68	173	2335
69	173	2307
70	174	2280
71	175	2257
72	175	2231
73	176	2206
74	176	2181
75	177	2157
76	177	2133
77	178	2110
78	179	2088
79	179	2066
80	180	2045
81	180	2024
82	181	2002
83	181	1982
84	182	1963
85	182	1944
86	183	1926
87	184	1907
88	184	1890
89	185	1875
90	186	1860
91	186	1844
92	187	1828
93	188	1813
94	188	1798
95	189	1784
96	190	1769
97	190	1755
98	191	1740
99	191	1727
100	192	1713
101	193	1699
102	193	1686
103	194	1673
104	194	1661
105	195	1649
106	196	1637
107	196	1625
108	197	1613
109	197	1601
110	198	1590
111	199	1579
112	199	1568
113	200	1558
114	201	1548
115	201	1538
116	202	1528
117	203	1520
118	204	1511
119	204	1501
120	205	1492
121	205	1482
122	206	1473
123	207	1464
124	207	1455
125	208	1446
126	208	1436
127	209	1427
128	210	1419
129	210	1410
130	211	1402
131	211	1393
132	212	1385
133	213	1378
134	214	1371
135	214	1363
136	215	1357
137	216	1349
138	216	1342
139	217	1337
140	218	1330
141	218	1322
142	219	1315
143	220	1308
144	220	1301
145	221	1294
146	221	1287
147	222	1281
148	223	1274
149	223	1268
150	224	1261
151	225	1255
152	225	1248
153	226	1242
154	226	1236
155	227	1231
156	228	1225
157	228	1220
158	229	1214
159	230	1209
160	230	1202
161	231	1197
162	232	1191
163	232	1186
164	233	1180
165	233	1175
166	234	1169
167	235	1164
168	235	1159
169	236	1153
170	237	1148
171	237	1143
172	238	1138
173	238	1133
174	239	1128
175	240	1123
176	240	1118
177	241	1114
178	241	1109
179	242	1105
180	243	1101
181	244	1097
182	244	1092
183	245	1088
184	246	1084
185	246	1080
186	247	1075
187	247	1071
188	248	1067
189	249	1063
190	249	1058
191	250	1054
192	251	1049
193	251	1045
194	252	1041
195	252	1037
196	253	1032
197	253	1028
198	254	1024
199	255	1021
200	255	1017
201	256	1013
202	257	1009
203	257	1006
204	258	1003
205	259	999
206	259	995
207	260	992
208	261	988
209	261	984
210	262	981
211	263	977
212	263	974
213	264	970
214	264	967
